,sr_no,title,no_of_rows,no_of_columns,no_of_numerical_columns,no_of_string_columns,column_types,percent_unique_values_total,percent_unique_values_numeric,percent_unique_values_string,percent_null_values_total,percent_null_values_numeric,percent_null_values_string,unique_values,null_values,column_headers,modified_date,available_formats
0,0,U.S. Hourly Precipitation Data,3,9,4,5,"['S', 'S', 'N', 'N', 'N', 'S', 'N', 'S', 'S']",55.55555555555556,50.0,60.0,0.0,0.0,0.0,"[1, 1, 1, 1, 1, 3, 3, 3, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","['STATION' 'STATION_NAME' 'ELEVATION' 'LATITUDE' 'LONGITUDE' 'DATE' 'HPCP'
 'Measurement Flag' 'Quality Flag']","February 27, 2019","['HTML', 'HTML', 'HTML', 'HTML', 'Esri REST', 'KML', '11 more in dataset']"
1,1,Accidental Drug Related Deaths 2012-2018,5105,41,1,40,"['S', 'S', 'S', 'N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']",6.372518573373785,1.2928501469147895,6.499510284035259,45.48481880509305,0.058765915768854066,46.62047012732615,"[5105, 2099, 3, 66, 4, 12, 371, 85, 27, 223, 10, 7, 323, 321, 72, 235, 13, 4, 3193, 93, 2, 2, 5, 2, 2, 2, 2, 2, 2, 2, 2, 2, 6, 2, 135, 2, 3, 6, 374, 290, 227]","[0, 2, 2, 3, 6, 13, 173, 797, 1549, 5, 1100, 24, 4515, 780, 66, 1756, 2741, 3681, 0, 4936, 2576, 3584, 2873, 4716, 4498, 4997, 3858, 4987, 3762, 4631, 4946, 4975, 5063, 5080, 4670, 5017, 2639, 10, 0, 93, 78]","['ID' 'Date' 'DateType' 'Age' 'Sex' 'Race' 'ResidenceCity'
 'ResidenceCounty' 'ResidenceState' 'DeathCity' 'DeathCounty' 'Location'
 'LocationifOther' 'DescriptionofInjury' 'InjuryPlace' 'InjuryCity'
 'InjuryCounty' 'InjuryState' 'COD' 'OtherSignifican' 'Heroin' 'Cocaine'
 'Fentanyl' 'FentanylAnalogue' 'Oxycodone' 'Oxymorphone' 'Ethanol'
 'Hydrocodone' 'Benzodiazepine' 'Methadone' 'Amphet' 'Tramad'
 'Morphine_NotHeroin' 'Hydromorphone' 'Other' 'OpiateNOS' 'AnyOpioid'
 'MannerofDeath' 'DeathCityGeo' 'ResidenceCityGeo' 'InjuryCityGeo']","May 8, 2019","['CSV', 'RDF', 'JSON', 'XML']"
2,2,Allegheny County Property Sale Transactions,285477,24,5,19,"['S', 'N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'N', 'N', 'S', 'N', 'S', 'S', 'S', 'N', 'S', 'S', 'S', 'S', 'S', 'S']",3.9071594792808764,2.5815739972046785,4.25599776403777,12.240916080805109,0.15356753784017627,15.421797276322197,"[207798, 9342, 1470, 5, 9057, 49, 11, 1212, 99, 1, 119, 46, 46, 175, 175, 2212, 2799, 27167, 3348, 2435, 47, 28, 28, 28]","[0, 18, 0, 273723, 7, 1246, 279938, 279767, 1, 0, 1, 0, 0, 0, 0, 1241, 0, 2173, 277, 288, 0, 0, 0, 0]","['PARID' 'PROPERTYHOUSENUM' 'PROPERTYFRACTION' 'PROPERTYADDRESSDIR'
 'PROPERTYADDRESSSTREET' 'PROPERTYADDRESSSUF' 'PROPERTYADDRESSUNITDESC'
 'PROPERTYUNITNO' 'PROPERTYCITY' 'PROPERTYSTATE' 'PROPERTYZIP' 'SCHOOLCODE'
 'SCHOOLDESC' 'MUNICODE' 'MUNIDESC' 'RECORDDATE' 'SALEDATE' 'PRICE'
 'DEEDBOOK' 'DEEDPAGE' 'SALECODE' 'SALEDESC' 'INSTRTYP' 'INSTRTYPDESC']","August 3, 2018","['CSV', 'PDF', 'CSV', 'PDF', 'CSV', 'HTML', '1 more in dataset']"
3,3,Local Weather Archive,4844,1,0,1,['S'],100.0,0.0,100.0,0.0,0.0,0.0,[4844],[0],[ 'date;temperaturemin;temperaturemax;precipitation;snowfall;snowdepth;avgwindspeed;fastest2minwinddir;fastest2minwindspeed;fastest5secwinddir;fastest5secwindspeed;fog;fogheavy;mist;rain;fogground;ice;glaze;drizzle;snow;freezingrain;smokehaze;thunder;highwind;hail;blowingsnow;dust;freezingfog'],"July 22, 2017","['JSON', 'JSON', 'CSV']"
4,4,Allegheny County Sheriff Sales,160,24,9,15,"['S', 'S', 'N', 'N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'N', 'N', 'N', 'N', 'N', 'S', 'S', 'N', 'N', 'S', 'S']",41.614583333333336,50.06944444444444,36.541666666666664,8.776041666666666,22.916666666666664,0.2916666666666667,"[160, 159, 160, 1, 102, 159, 3, 1, 3, 5, 160, 42, 2, 69, 1, 74, 102, 2, 2, 2, 156, 156, 76, 1]","[0, 0, 0, 160, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 160, 1, 0, 0, 0, 0, 4, 4, 3, 0]","['SaleNumber' 'DocketNumber' 'ID' 'AttorneyName' 'Plaintiff' 'Defendant'
 'SaleType' 'SaleDate' 'SaleStatus' 'PPDate' 'Street' 'City' 'State'
 'ZIPCode' 'Address' 'Municipality' 'CostsTaxes' 'ServiceCompleted'
 'Delivered3129' 'ReadyForSale' 'latitude' 'longitude' 'AdditionalNotes'
 'RecordDate']","August 3, 2018","['CSV', 'CSV', 'CSV', 'CSV', 'CSV', 'CSV', '4 more in dataset']"
5,5,SAT (College Board) 2010 School Level Results,460,6,4,2,"['S', 'S', 'N', 'N', 'N', 'N']",56.268115942028984,34.51086956521739,99.78260869565217,10.72463768115942,16.08695652173913,0.0,"[458, 460, 163, 158, 166, 148]","[0, 0, 74, 74, 74, 74]","['DBN' 'School Name' 'Number of Test Takers' 'Critical Reading Mean'
 'Mathematics Mean' 'Writing Mean']","May 3, 2019","['CSV', 'RDF', 'JSON', 'XML']"
6,6,Median Household Income,9,3,1,2,"['N', 'S', 'S']",62.96296296296296,100.0,44.44444444444444,44.44444444444444,0.0,66.66666666666666,"[9, 6, 2]","[0, 4, 8]",['Years' 'Historical Data' 'Target'],"May 8, 2019","['CSV', 'CSV']"
7,7,Boundaries - Neighborhoods,98,5,2,3,"['S', 'S', 'S', 'N', 'N']",95.91836734693877,100.0,93.19727891156462,0.0,0.0,0.0,"[98, 98, 78, 98, 98]","[0, 0, 0, 0, 0]",['the_geom' 'PRI_NEIGH' 'SEC_NEIGH' 'SHAPE_AREA' 'SHAPE_LEN'],"March 29, 2019","['KML', 'KML', 'ZIP', 'ZIP', 'JSON', 'CSV']"
8,8,Allegheny County Certified MWDBE Businesses,576,19,1,18,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'N', 'S']",54.05701754385965,0.3472222222222222,57.04089506172839,39.172149122807014,99.82638888888889,35.80246913580247,"[576, 570, 562, 475, 563, 564, 567, 557, 566, 324, 576, 2, 2, 2, 2, 2, 2, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 10, 0, 252, 0, 0, 575, 575, 575, 575, 575, 575, 575]","['Firm Name' 'Owners' 'Work Decsription' 'NAICS Codes' 'Physical Address'
 'Mailing Address' 'Phone Number' 'Fax Number' 'Email Address' 'Website'
 'Certification Numbers' 'Certifying Agency' 'Unnamed: 12' 'Unnamed: 13'
 'Unnamed: 14' 'Unnamed: 15' 'Unnamed: 16' 'Unnamed: 17' 'Unnamed: 18']","September 2, 2017","['CSV', 'PDF']"
9,9,Stolen Gun Data,7,10,0,10,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']",58.57142857142858,0.0,58.57142857142858,10.0,0.0,10.0,"[7, 6, 7, 6, 3, 1, 2, 2, 6, 1]","[0, 0, 0, 2, 5, 0, 0, 0, 0, 0]","['Property Number' 'Date' 'Brand' 'Model' 'Color ' 'Stolen ' 'Stolen From'
 'Status' 'Incident number' 'Agency']","February 10, 2018","['CSV', 'CSV', 'CSV', 'CSV', 'CSV', 'CSV', '2 more in dataset']"
